"","rep1.stat","rep1.pval","rep2.stat","rep2.pval","rep3.stat","rep3.pval","mean.rep1.c1","mean.rep1.c2","mean.rep2.c1","mean.rep2.c2","mean.rep3.c1","mean.rep3.c2","sd.rep1.c1","sd.rep1.c2","sd.rep2.c1","sd.rep2.c2","sd.rep3.c1","sd.rep3.c2","rep1.ratio","rep2.ratio","rep3.ratio","rep1.FC","rep2.FC","rep3.FC","condition"
"1",0.027452966966994,0,0.0197865494056286,0,0.0297448486882375,0,123726.75937083,43251.100618722,100999.881115764,101527.044684132,104046.302891604,104463.084302777,31122.0604050273,12758.3751502073,51898.1886399266,51468.9244941261,49353.433768733,49196.8457334756,0.349569493605593,0.99480765376351,0.996010251717588,-0.650430506394407,-0.00519234623648954,-0.00398974828241168,"NLIM-PRO"
"2",0.00152993061214143,1,0.00200541176264594,0.996905085492282,0.00245320862068703,0.990633737675494,84878.2854931285,156229.89424872,162835.976628174,81814.162084316,147634.733929317,75543.8396603408,27220.2279829801,34011.2124540538,35302.2993027282,23048.9223202698,28909.0108119999,20783.6962951197,0.543290936099599,0.502432962164949,0.51169421754442,-0.456709063900402,-0.497567037835051,-0.48830578245558,"NLIM-GLN"
"3",0.012595150416037,0,0.010504531920038,0,0.0185696020690469,0,119536.089385179,48300.3828939748,135240.230217795,59230.0055726124,106464.248839857,106112.369975579,29066.0479307295,14846.2425931628,34107.1787947004,16396.0535131216,44845.1415139996,46022.6387073638,0.404065275536474,0.437961437045964,0.996694863598693,-0.595934724463526,-0.562038562954036,-0.00330513640130661,"NLIM-GLU"
"4",0.00476671964212138,0.165111062272414,0.00327611786567375,0.782655504810838,0.00322253979262186,0.801182123888856,125914.984143487,53694.9683963641,143503.878937216,66996.9166281326,64579.5237827503,136509.864818888,32125.223134477,16391.1585997862,35247.4178086178,18978.0321408634,18389.6814074765,29950.7128429425,0.426438273106368,0.46686484800487,0.473075875274144,-0.573561726893632,-0.53313515199513,-0.526924124725856,"NLIM-NH4"
"5",0.0364712360057626,0,0.00668401343524326,0.00512782886724483,0.0126917293109285,0,88782.901966339,88992.6455176051,49948.0140137443,128761.696168799,47261.1201998617,127367.885273686,44272.584194623,43973.8827544359,14550.8181400504,36135.4557645226,14419.8107910578,32029.8065821994,0.997643136126069,0.38791050055962,0.371059942608829,-0.00235686387393112,-0.61208949944038,-0.628940057391171,"NLIM-UREA"
"6",0.0300152801172727,0,0.0149065521533298,0,0.0208475268207435,0,116733.235698202,42936.7872332935,136595.720427972,52556.6094519407,136160.345137792,54659.0954239275,30582.2098303587,13244.3364934585,36972.602726369,15083.9868253403,32063.5902328134,14644.0819880082,0.367819729972198,0.384760293274738,0.401431821934745,-0.632180270027802,-0.615239706725262,-0.598568178065255,"NLIM-ALA"
"7",0.02529047855775,0,0.00616871164985757,0.0159749843638397,0.0092786730869596,8.91835439997823e-06,120680.336560789,47393.6344557542,131058.018207667,56939.3639539061,129091.59077374,55833.5159410879,29891.7918546908,13812.5566110761,34553.5854985213,15598.2875064048,30329.3123881335,15187.8510906166,0.392720436538401,0.434459216861369,0.432510867721412,-0.607279563461599,-0.565540783138631,-0.567489132278588,"NLIM-ASP"
"8",0.0198571249798287,0,0.0188223191466267,0,0.0166524038438916,0,99607.6568694553,99279.1561672235,137509.184381011,51800.4737454374,54309.7578263289,137636.964655206,44057.4826982447,44265.5048650939,35712.594998604,14225.2827955697,15319.6222091639,31128.6380906819,0.996702053711972,0.37670555591333,0.394587006204185,-0.00329794628802816,-0.62329444408667,-0.605412993795815,"NLIM-TRP"
"9",0.00308423850330689,0.854417113151967,0.00396817220059288,0.434667674085734,0.00415630177799926,0.358412719418009,70508.2835657941,134500.601348335,150203.329887838,76741.4825912843,74505.2197793992,145710.73479498,16807.1419424053,26940.4260037396,33047.3151002303,17668.1806905632,18085.0179491064,28048.3214736543,0.524222812827349,0.510917318867631,0.511322792272173,-0.475777187172651,-0.489082681132369,-0.488677207727827,"NLIM-MET"
"10",0.0160394004980532,0,0.00884699444324047,3.39236536583964e-05,0.0119032782644212,0,122476.563494047,48379.5511867878,135656.175436362,56239.9561502928,131035.28391608,53842.2494910151,31167.6896201055,14312.5135146641,36231.6825190463,16599.6345218887,31891.2086120251,14851.180493457,0.395010684547329,0.414577190971121,0.410898865419315,-0.604989315452671,-0.585422809028879,-0.589101134580685,"NLIM-PHE"
"11",0.00194794072960212,0.997644681201136,0.00211136046800423,0.995388528609126,0.00269437666791681,0.966522130497718,65546.1698681186,135212.781004488,161720.670048239,84230.2896780935,111060.385776559,111342.167649078,20539.1758314597,31729.3910758694,34347.7178763066,22661.0402704539,43280.943674726,43053.4827631758,0.484763122104138,0.520838119536412,0.997469225914411,-0.515236877895862,-0.479161880463588,-0.0025307740855893,"NLIM-ARG"
"12",0.00353079328281858,0.653009561034812,0.00201469212104066,0.996657865195359,0.00242668627793434,0.991669084954074,126547.320895812,125661.906638648,161918.690654413,127336.541952936,181031.090246208,126326.737327594,10291.0948788826,50330.4002401679,48277.2231218254,13597.1470695097,18780.8685272172,22875.2738010858,0.993003295123942,0.786422749827645,0.697817911585164,-0.0069967048760578,-0.213577250172355,-0.302182088414836,"NLIM-LYS"
"13",0.0206381930087634,0,0.002596609490996,0.97876805606514,0.00254460899381901,0.985473186970161,123821.683512419,47685.7087156547,169011.231096011,100467.230905456,161475.722050287,100532.543759044,28755.757381021,12794.4823888598,28793.6897176585,26815.7333368309,21997.7176592194,25512.8710964285,0.385115977775185,0.594441151951513,0.62258612305654,-0.614884022224815,-0.405558848048487,-0.37741387694346,"NLIM-HIS"
"14",0.0233145438573607,0,0.022807474056243,0,0.0184635247046057,0,101025.62968017,100757.543181752,137076.970644777,50480.7217911986,51602.3099814969,134582.730273717,44941.2879065037,44838.7871030801,35663.1920496131,15241.6135782853,15379.5007606397,31835.1358757882,0.997346351621197,0.368265519392129,0.383424454805955,-0.00265364837880336,-0.631734480607871,-0.616575545194045,"NLIM-THR"
"15",0.0154067136072706,0,0.00463987158201069,0.190400843662783,0.0152734598991451,0,125967.694311352,45356.0225199979,72129.5292523223,154519.078029848,139233.508973852,57049.5023041751,28506.6117622937,14737.2425300043,22431.7510657112,33385.5813161429,30304.1890344981,16865.2012982354,0.36006075024198,0.466800152913088,0.409739743863592,-0.63993924975802,-0.533199847086912,-0.590260256136408,"NLIM-GLY"
"16",0.0354799096541483,0,0.0067531109393974,0.00458990395465098,0.0112984650531483,0,47532.2030705769,119037.647642265,51621.2842642864,127066.391750582,88909.8392197696,88919.7711659639,12380.5094644215,29766.3047737132,14403.7795253126,35262.9357796865,44076.0279331127,44373.4617516251,0.399303951413941,0.406254427729509,0.999888304411223,-0.600696048586059,-0.593745572270491,-0.000111695588777115,"NLIM-VAL"
"17",0.0458140759411502,0,0.0337758126003905,0,0.0389678640865023,0,42413.4893124896,119703.971124607,44719.9284948471,139082.519519248,45576.6280712669,137215.489381087,11528.3132375481,29786.0631720366,14382.9608930259,36383.7229894441,13897.4516332395,31396.4515872128,0.354319818415538,0.321535219878283,0.332153667758947,-0.645680181584462,-0.678464780121717,-0.667846332241053,"NLIM-LEU"
"18",0.0019365876613768,0.997934941100631,0.00196794886711167,0.99727566875538,0.00192390560205437,0.998042513313298,154791.84322495,105572.632742588,110844.314034702,169884.784048007,107392.021189563,157840.640909395,23803.2860426476,16938.663100939,16888.7046224321,29960.3126231079,16985.5122599506,21212.8359854709,0.682029689310988,0.652467580636173,0.680382571756083,-0.317970310689013,-0.347532419363827,-0.319617428243917,"NLIM-CYS"
"19",0.00188085053980334,0.998493844851807,0.00309455216083552,0.852294866790141,0.00231921292400901,0.992303935302939,63639.9122852329,131425.469945049,100247.718021153,99732.398285226,96767.7449488016,97371.024757813,19578.6090438734,31029.2898678942,45260.9214560671,45558.0052534514,42423.3415752963,41680.4658167665,0.48422815084353,0.994859536495198,0.99380431899005,-0.51577184915647,-0.00514046350480213,-0.00619568100994982,"NLIM-ASN"
"20",0.0369106624878518,0,0.0138561871203792,0,0.0114910086679618,0,119258.666818966,41996.9366350184,51893.2286441104,133499.352420215,130741.985158246,50931.730373975,30077.1828245374,12173.0208583752,16024.9989279154,35197.0832836708,32770.326775287,14802.5462077174,0.352149975806535,0.388715208750726,0.389559102321483,-0.647850024193465,-0.611284791249274,-0.610440897678517,"NLIM-ILE"
"21",0.0237597432621912,0,0.00913241937860077,1.63470287553036e-05,0.0115318474654028,0,46082.904715563,120808.112526146,126388.96546262,48691.2061053039,126039.702617545,49186.1026044239,13799.4210363761,30965.0209267907,34494.7297474913,14921.0737135949,30592.5381168473,15381.9950202089,0.381455382026512,0.385248869844611,0.390242928084926,-0.618544617973488,-0.614751130155389,-0.609757071915074,"NLIM-TYR"
